rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev,fg3_pct
11,11,11,2014-12-29,Duke,,Toledo,REG (Non-Conf),W 86-69,*,31,12,15,0.8,0,0,12,15,0.8,0.8,3,6,0.5,2,6,8,1,0,1,3,1,27,21.3,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
12,12,12,2014-12-31,Duke,,Wofford,REG (Non-Conf),W 84-55,*,32,11,13,0.846,0,0,11,13,0.846,0.846,2,5,0.4,1,7,8,1,2,2,2,1,24,22.6,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
13,13,13,2015-01-03,Duke,,Boston College,REG (Conf),W 85-62,*,30,7,11,0.636,0,0,7,11,0.636,0.636,14,17,0.824,4,4,8,1,0,4,2,3,28,26.2,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
14,14,14,2015-01-07,Duke,@,Wake Forest,REG (Conf),W 73-65,*,31,4,6,0.667,0,0,4,6,0.667,0.667,4,8,0.5,4,7,11,0,0,1,5,3,12,7.2,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
15,15,15,2015-01-11,Duke,@,NC State,REG (Conf),L 75-87,*,35,8,11,0.727,0,0,8,11,0.727,0.727,7,11,0.636,6,6,12,0,3,3,1,2,23,26.2,A,0,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
16,16,16,2015-01-13,Duke,,Miami (FL),REG (Conf),L 74-90,*,33,6,13,0.462,0,0,6,13,0.462,0.462,3,5,0.6,8,7,15,0,0,0,2,2,15,12.4,H,0,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
17,17,17,2015-01-17,Duke,@,Louisville,REG (Conf),W 63-52,*,34,8,10,0.8,0,0,8,10,0.8,0.8,2,2,1.0,2,5,7,1,0,1,2,3,18,15.3,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
18,18,18,2015-01-19,Duke,,Pittsburgh,REG (Conf),W 79-65,*,28,5,9,0.556,0,0,5,9,0.556,0.556,4,6,0.667,1,2,3,5,0,1,2,3,14,11.2,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
19,19,19,2015-01-25,Duke,@,St. John's (NY),REG (Non-Conf),W 77-68,*,37,7,10,0.7,0,0,7,10,0.7,0.7,3,7,0.429,6,4,10,2,0,1,5,2,17,12.9,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
20,20,20,2015-01-28,Duke,@,Notre Dame,REG (Conf),L 73-77,*,36,10,18,0.556,0,0,10,18,0.556,0.556,2,7,0.286,5,12,17,3,1,1,3,2,22,18.5,A,0,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
21,21,21,2015-01-31,Duke,@,Virginia,REG (Conf),W 69-63,*,35,5,7,0.714,0,0,5,7,0.714,0.714,0,0,,6,3,9,3,2,1,5,1,10,11.6,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
22,22,22,2015-02-04,Duke,,Georgia Tech,REG (Conf),W 72-66,*,33,5,12,0.417,0,0,5,12,0.417,0.417,4,8,0.5,3,5,8,0,1,2,3,3,14,7.8,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
23,23,23,2015-02-07,Duke,,Notre Dame,REG (Conf),W 90-60,*,23,9,11,0.818,0,0,9,11,0.818,0.818,2,2,1.0,4,6,10,0,2,1,3,3,20,19.0,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
24,24,24,2015-02-09,Duke,@,Florida State,REG (Conf),W 73-70,*,28,5,5,1.0,0,0,5,5,1.0,1.0,3,5,0.6,4,0,4,0,0,2,1,4,13,12.3,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
25,25,25,2015-02-14,Duke,@,Syracuse,REG (Conf),W 80-72,*,34,10,15,0.667,0,0,10,15,0.667,0.667,3,4,0.75,4,9,13,0,0,1,4,4,23,16.7,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
26,26,26,2015-02-18,Duke,,North Carolina,REG (Conf),W 92-90 (OT),*,41,6,11,0.545,0,0,6,11,0.545,0.545,0,6,0.0,4,9,13,3,2,1,5,1,12,9.2,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
27,27,28,2015-02-25,Duke,@,Virginia Tech,REG (Conf),W 91-86 (OT),*,37,13,18,0.722,0,0,13,18,0.722,0.722,4,9,0.444,7,2,9,2,0,1,2,2,30,25.4,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
28,28,29,2015-02-28,Duke,,Syracuse,REG (Conf),W 73-54,*,31,6,10,0.6,0,0,6,10,0.6,0.6,1,7,0.143,7,7,14,4,1,1,2,1,13,15.1,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
29,29,30,2015-03-04,Duke,,Wake Forest,REG (Conf),W 94-51,*,19,2,2,1.0,0,0,2,2,1.0,1.0,2,3,0.667,0,4,4,1,0,0,3,2,6,3.1,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
30,30,31,2015-03-07,Duke,@,North Carolina,REG (Conf),W 84-77,*,32,7,9,0.778,0,0,7,9,0.778,0.778,0,1,0.0,1,3,4,1,0,1,2,0,14,11.1,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
31,31,32,2015-03-12,Duke,N,NC State,CTOURN,W 77-53,*,19,5,8,0.625,0,0,5,8,0.625,0.625,0,0,,2,2,4,1,0,1,1,3,10,7.6,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
32,32,33,2015-03-13,Duke,N,Notre Dame,CTOURN,L 64-74,*,35,13,18,0.722,0,0,13,18,0.722,0.722,2,8,0.25,3,5,8,0,1,2,1,3,28,22.0,N,0,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
33,33,34,2015-03-20,Duke,N,Robert Morris,ROUND-64,W 85-56,*,21,9,11,0.818,0,0,9,11,0.818,0.818,3,6,0.5,0,3,3,1,1,2,2,0,21,17.7,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
34,34,35,2015-03-22,Duke,N,San Diego State,ROUND-32,W 68-49,*,33,12,16,0.75,0,0,12,16,0.75,0.75,2,2,1.0,1,5,6,2,1,3,2,1,26,23.9,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
35,35,36,2015-03-27,Duke,N,Utah,ROUND-16,W 63-57,*,32,3,6,0.5,0,0,3,6,0.5,0.5,0,1,0.0,0,8,8,0,0,2,4,3,6,1.2,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
36,36,37,2015-03-29,Duke,N,Gonzaga,ROUND-8,W 66-52,*,29,4,10,0.4,0,0,4,10,0.4,0.4,1,3,0.333,2,6,8,1,1,1,1,2,9,6.6,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
37,37,38,2015-04-04,Duke,N,Michigan State,NATIONAL-SEMI,W 81-61,*,30,7,11,0.636,0,0,7,11,0.636,0.636,4,7,0.571,3,3,6,0,2,2,2,2,18,15.5,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
38,38,39,2015-04-06,Duke,N,Wisconsin,NATIONAL-FINAL,W 68-63,*,22,5,9,0.556,0,0,5,9,0.556,0.556,0,1,0.0,3,0,3,0,0,0,2,4,10,3.8,N,1,0,jahlil-okafor-1,Jahlil Okafor,2015,duke,
1,105,1,2014-11-14,Duke,,Presbyterian,REG (Non-Conf),W 113-44,*,25,5,11,0.455,4,10,1,1,1.0,0.636,0,0,,1,4,5,5,2,0,0,0,14,15.7,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.4
2,106,2,2014-11-15,Duke,,Fairfield,REG (Non-Conf),W 109-59,*,27,7,9,0.778,3,4,4,5,0.8,0.944,0,0,,0,2,2,4,1,0,1,1,17,16.5,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.75
3,107,3,2014-11-18,Duke,N,Michigan State,REG (Non-Conf),W 81-71,*,36,7,12,0.583,3,4,4,8,0.5,0.708,2,2,1.0,1,2,3,6,1,0,0,2,19,19.1,N,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.75
4,108,4,2014-11-21,Duke,N,Temple,REG (Non-Conf),W 74-54,*,34,6,12,0.5,3,8,3,4,0.75,0.625,2,2,1.0,0,5,5,1,2,0,2,2,17,12.4,N,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.375
5,109,5,2014-11-22,Duke,N,Stanford,REG (Non-Conf),W 70-59,*,39,5,12,0.417,4,9,1,3,0.333,0.583,4,4,1.0,0,3,3,5,1,0,1,2,18,15.2,N,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.444
6,110,6,2014-11-26,Duke,,Furman,REG (Non-Conf),W 93-54,*,24,4,10,0.4,3,9,1,1,1.0,0.55,0,0,,0,3,3,5,1,0,1,2,11,9.2,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.333
7,111,7,2014-11-30,Duke,,Army,REG (Non-Conf),W 93-73,*,30,5,12,0.417,1,5,4,7,0.571,0.458,2,2,1.0,0,2,2,2,3,0,1,1,13,10.2,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.2
8,112,8,2014-12-03,Duke,@,Wisconsin,REG (Non-Conf),W 80-70,*,31,4,5,0.8,2,3,2,2,1.0,1.0,3,4,0.75,0,0,0,1,1,0,2,3,13,9.2,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.667
9,113,9,2014-12-15,Duke,,Elon,REG (Non-Conf),W 75-62,*,35,3,9,0.333,1,6,2,3,0.667,0.389,0,0,,0,2,2,4,1,0,1,1,7,4.9,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.167
10,114,10,2014-12-18,Duke,N,Connecticut,REG (Non-Conf),W 66-56,*,39,3,9,0.333,2,7,1,2,0.5,0.444,2,2,1.0,0,2,2,1,2,0,3,3,10,4.0,N,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.286
11,115,11,2014-12-29,Duke,,Toledo,REG (Non-Conf),W 86-69,*,37,6,12,0.5,2,6,4,6,0.667,0.583,6,6,1.0,0,1,1,3,0,0,2,4,20,12.8,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.333
12,116,12,2014-12-31,Duke,,Wofford,REG (Non-Conf),W 84-55,*,35,5,8,0.625,3,6,2,2,1.0,0.813,2,2,1.0,0,1,1,2,1,0,0,1,15,13.7,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.5
13,117,13,2015-01-03,Duke,,Boston College,REG (Conf),W 85-62,*,34,5,14,0.357,3,9,2,5,0.4,0.464,2,2,1.0,1,2,3,2,1,0,3,3,15,6.7,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.333
14,118,14,2015-01-07,Duke,@,Wake Forest,REG (Conf),W 73-65,*,39,3,10,0.3,1,6,2,4,0.5,0.35,5,5,1.0,0,4,4,2,2,0,2,3,12,7.6,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.167
15,119,15,2015-01-11,Duke,@,NC State,REG (Conf),L 75-87,*,37,6,13,0.462,4,7,2,6,0.333,0.615,2,2,1.0,1,3,4,2,0,1,1,2,18,13.2,A,0,1,quinn-cook-1,Quinn Cook,2015,duke,0.571
16,120,16,2015-01-13,Duke,,Miami (FL),REG (Conf),L 74-90,*,38,7,13,0.538,4,7,3,6,0.5,0.692,0,0,,0,6,6,4,0,0,2,3,18,13.1,H,0,1,quinn-cook-1,Quinn Cook,2015,duke,0.571
17,121,17,2015-01-17,Duke,@,Louisville,REG (Conf),W 63-52,*,35,2,9,0.222,2,7,0,2,0.0,0.333,1,2,0.5,0,5,5,0,3,0,0,2,7,4.8,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.286
18,122,18,2015-01-19,Duke,,Pittsburgh,REG (Conf),W 79-65,*,38,3,10,0.3,1,8,2,2,1.0,0.35,4,4,1.0,1,9,10,2,1,0,1,0,11,10.0,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.125
19,123,19,2015-01-25,Duke,@,St. John's (NY),REG (Non-Conf),W 77-68,*,38,5,13,0.385,4,8,1,5,0.2,0.538,3,3,1.0,1,3,4,2,2,0,3,2,17,11.1,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.5
20,124,20,2015-01-28,Duke,@,Notre Dame,REG (Conf),L 73-77,*,40,5,11,0.455,3,6,2,5,0.4,0.591,2,2,1.0,0,3,3,2,0,0,1,3,15,9.4,A,0,1,quinn-cook-1,Quinn Cook,2015,duke,0.5
21,125,21,2015-01-31,Duke,@,Virginia,REG (Conf),W 69-63,*,36,6,10,0.6,3,4,3,6,0.5,0.75,0,1,0.0,1,2,3,1,0,0,1,2,15,10.2,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.75
22,126,22,2015-02-04,Duke,,Georgia Tech,REG (Conf),W 72-66,*,37,6,14,0.429,1,8,5,6,0.833,0.464,4,5,0.8,0,3,3,4,1,0,0,1,17,13.5,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.125
23,127,23,2015-02-07,Duke,,Notre Dame,REG (Conf),W 90-60,*,36,3,8,0.375,2,3,1,5,0.2,0.5,0,0,,0,1,1,5,1,0,0,3,8,7.2,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.667
24,128,24,2015-02-09,Duke,@,Florida State,REG (Conf),W 73-70,*,40,8,15,0.533,4,9,4,6,0.667,0.667,6,7,0.857,0,4,4,0,0,0,2,3,26,16.3,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.444
25,129,25,2015-02-14,Duke,@,Syracuse,REG (Conf),W 80-72,*,40,4,10,0.4,2,7,2,3,0.667,0.5,7,8,0.875,0,3,3,5,2,0,1,0,17,16.6,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.286
26,130,26,2015-02-18,Duke,,North Carolina,REG (Conf),W 92-90 (OT),*,45,7,15,0.467,6,9,1,6,0.167,0.667,2,4,0.5,1,3,4,3,0,0,3,3,22,13.0,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.667
27,131,27,2015-02-21,Duke,,Clemson,REG (Conf),W 78-56,*,39,11,18,0.611,3,7,8,11,0.727,0.694,2,2,1.0,1,3,4,4,1,0,2,0,27,22.2,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.429
28,132,28,2015-02-25,Duke,@,Virginia Tech,REG (Conf),W 91-86 (OT),*,45,8,13,0.615,6,11,2,2,1.0,0.846,4,6,0.667,0,2,2,3,1,0,1,2,26,21.2,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.545
29,133,29,2015-02-28,Duke,,Syracuse,REG (Conf),W 73-54,*,34,5,15,0.333,1,8,4,7,0.571,0.367,6,6,1.0,1,1,2,4,1,0,2,1,17,10.9,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.125
30,134,30,2015-03-04,Duke,,Wake Forest,REG (Conf),W 94-51,*,32,4,12,0.333,3,7,1,5,0.2,0.458,2,2,1.0,0,5,5,2,0,0,2,2,13,6.3,H,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.429
31,135,31,2015-03-07,Duke,@,North Carolina,REG (Conf),W 84-77,*,38,7,16,0.438,4,10,3,6,0.5,0.563,2,2,1.0,1,3,4,1,0,0,0,3,20,12.7,A,1,1,quinn-cook-1,Quinn Cook,2015,duke,0.4
32,136,32,2015-03-12,Duke,N,NC State,CTOURN,W 77-53,*,26,5,7,0.714,2,2,3,5,0.6,0.857,3,3,1.0,0,2,2,0,1,0,0,1,15,13.3,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,1.0
33,137,33,2015-03-13,Duke,N,Notre Dame,CTOURN,L 64-74,*,39,2,12,0.167,1,8,1,4,0.25,0.208,2,2,1.0,0,2,2,2,1,0,2,4,7,-1.2,N,0,0,quinn-cook-1,Quinn Cook,2015,duke,0.125
34,138,34,2015-03-20,Duke,N,Robert Morris,ROUND-64,W 85-56,*,32,8,12,0.667,6,10,2,2,1.0,0.917,0,0,,1,3,4,5,3,0,1,3,22,22.7,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.6
35,139,35,2015-03-22,Duke,N,San Diego State,ROUND-32,W 68-49,*,38,6,13,0.462,3,8,3,5,0.6,0.577,0,0,,1,4,5,2,0,0,1,0,15,10.6,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.375
36,140,36,2015-03-27,Duke,N,Utah,ROUND-16,W 63-57,*,38,2,5,0.4,0,1,2,4,0.5,0.4,7,8,0.875,1,3,4,2,0,0,2,4,11,7.3,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.0
37,141,37,2015-03-29,Duke,N,Gonzaga,ROUND-8,W 66-52,*,40,2,10,0.2,1,5,1,5,0.2,0.25,5,6,0.833,0,5,5,1,1,0,0,1,10,6.2,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.2
38,142,38,2015-04-04,Duke,N,Michigan State,NATIONAL-SEMI,W 81-61,*,35,6,12,0.5,1,3,5,9,0.556,0.542,4,4,1.0,0,2,2,2,1,0,0,3,17,12.8,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.333
39,143,39,2015-04-06,Duke,N,Wisconsin,NATIONAL-FINAL,W 68-63,*,35,3,8,0.375,0,3,3,5,0.6,0.375,0,0,,1,3,4,2,0,0,0,0,6,4.6,N,1,0,quinn-cook-1,Quinn Cook,2015,duke,0.0
1,1,1,2014-11-14,Duke,,Presbyterian,REG (Non-Conf),W 113-44,*,20,6,12,0.5,2,3,4,9,0.444,0.583,1,1,1.0,2,2,4,1,1,1,3,2,15,9.6,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.667
2,2,2,2014-11-15,Duke,,Fairfield,REG (Non-Conf),W 109-59,*,21,6,10,0.6,1,2,5,8,0.625,0.65,5,7,0.714,2,4,6,2,1,1,1,1,18,16.9,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
3,3,3,2014-11-18,Duke,N,Michigan State,REG (Non-Conf),W 81-71,*,36,4,11,0.364,1,2,3,9,0.333,0.409,6,9,0.667,1,5,6,3,0,1,2,3,15,9.5,N,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
4,4,4,2014-11-21,Duke,N,Temple,REG (Non-Conf),W 74-54,*,28,4,8,0.5,1,4,3,4,0.75,0.563,6,9,0.667,0,4,4,1,1,0,1,3,15,10.5,N,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.25
5,5,5,2014-11-22,Duke,N,Stanford,REG (Non-Conf),W 70-59,*,35,4,10,0.4,2,7,2,3,0.667,0.5,4,10,0.4,4,5,9,4,1,1,1,2,14,13.2,N,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.286
6,6,6,2014-11-26,Duke,,Furman,REG (Non-Conf),W 93-54,*,23,2,7,0.286,1,3,1,4,0.25,0.357,2,4,0.5,0,2,2,2,2,0,1,1,7,4.7,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.333
7,7,7,2014-11-30,Duke,,Army,REG (Non-Conf),W 93-73,*,12,3,4,0.75,1,2,2,2,1.0,0.875,0,0,,0,1,1,1,1,0,2,3,7,4.2,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
8,8,8,2014-12-03,Duke,@,Wisconsin,REG (Non-Conf),W 80-70,*,32,2,6,0.333,1,3,1,3,0.333,0.417,0,0,,1,4,5,3,1,0,4,3,5,1.4,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.333
9,9,9,2014-12-15,Duke,,Elon,REG (Non-Conf),W 75-62,*,27,5,10,0.5,1,4,4,6,0.667,0.55,1,4,0.25,0,3,3,0,2,0,2,4,12,5.1,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.25
10,10,10,2014-12-18,Duke,N,Connecticut,REG (Non-Conf),W 66-56,*,28,4,10,0.4,1,3,3,7,0.429,0.45,3,4,0.75,2,3,5,2,1,1,2,3,12,8.4,N,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.333
11,11,11,2014-12-29,Duke,,Toledo,REG (Non-Conf),W 86-69,*,29,4,9,0.444,1,2,3,7,0.429,0.5,0,1,0.0,1,4,5,4,1,1,1,3,9,8.1,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
12,12,12,2014-12-31,Duke,,Wofford,REG (Non-Conf),W 84-55,*,31,5,11,0.455,2,4,3,7,0.429,0.545,4,4,1.0,2,5,7,2,1,0,1,0,16,14.6,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
13,13,13,2015-01-03,Duke,,Boston College,REG (Conf),W 85-62,*,26,5,7,0.714,1,2,4,5,0.8,0.786,2,3,0.667,1,6,7,4,0,2,1,3,13,14.2,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
14,14,14,2015-01-07,Duke,@,Wake Forest,REG (Conf),W 73-65,*,36,7,16,0.438,3,7,4,9,0.444,0.531,3,3,1.0,1,6,7,3,0,2,1,1,20,16.2,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.429
15,15,15,2015-01-11,Duke,@,NC State,REG (Conf),L 75-87,*,30,3,13,0.231,1,6,2,7,0.286,0.269,3,5,0.6,1,3,4,1,1,0,0,5,10,2.6,A,0,1,justise-winslow-1,Justise Winslow,2015,duke,0.167
16,16,16,2015-01-13,Duke,,Miami (FL),REG (Conf),L 74-90,*,27,1,6,0.167,0,2,1,4,0.25,0.167,0,4,0.0,0,2,2,1,0,1,2,2,2,-4.2,H,0,1,justise-winslow-1,Justise Winslow,2015,duke,0.0
17,17,17,2015-01-17,Duke,@,Louisville,REG (Conf),W 63-52,*,38,1,3,0.333,0,2,1,1,1.0,0.333,1,4,0.25,1,6,7,1,1,0,3,3,3,0.1,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.0
18,18,18,2015-01-19,Duke,,Pittsburgh,REG (Conf),W 79-65,*,22,2,7,0.286,2,4,0,3,0.0,0.429,1,2,0.5,0,2,2,1,1,1,1,2,7,3.7,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
19,19,19,2015-01-25,Duke,@,St. John's (NY),REG (Non-Conf),W 77-68,*,10,0,1,0.0,0,1,0,0,,0.0,0,0,,0,1,1,0,0,0,1,1,0,-1.8,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.0
20,20,20,2015-01-28,Duke,@,Notre Dame,REG (Conf),L 73-77,*,30,4,7,0.571,3,4,1,3,0.333,0.786,2,2,1.0,0,2,2,0,1,0,2,4,13,7.7,A,0,1,justise-winslow-1,Justise Winslow,2015,duke,0.75
21,21,21,2015-01-31,Duke,@,Virginia,REG (Conf),W 69-63,*,31,7,16,0.438,0,4,7,12,0.583,0.438,1,2,0.5,1,10,11,2,1,1,0,4,15,11.4,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.0
22,22,22,2015-02-04,Duke,,Georgia Tech,REG (Conf),W 72-66,*,36,5,6,0.833,1,1,4,5,0.8,0.917,4,7,0.571,3,7,10,3,2,2,1,3,15,19.1,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,1.0
23,23,23,2015-02-07,Duke,,Notre Dame,REG (Conf),W 90-60,*,31,6,11,0.545,1,2,5,9,0.556,0.591,6,8,0.75,4,7,11,4,0,2,3,2,19,18.2,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
24,24,24,2015-02-09,Duke,@,Florida State,REG (Conf),W 73-70,*,32,1,6,0.167,1,3,0,3,0.0,0.25,7,10,0.7,1,4,5,1,2,1,4,5,10,4.3,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.333
25,25,25,2015-02-14,Duke,@,Syracuse,REG (Conf),W 80-72,*,29,4,10,0.4,1,2,3,8,0.375,0.45,3,3,1.0,1,6,7,3,0,1,2,5,12,7.9,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.5
26,26,26,2015-02-18,Duke,,North Carolina,REG (Conf),W 92-90 (OT),*,29,6,10,0.6,1,1,5,9,0.556,0.65,3,6,0.5,1,6,7,2,1,0,1,4,16,12.5,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,1.0
27,27,27,2015-02-21,Duke,,Clemson,REG (Conf),W 78-56,*,37,8,14,0.571,1,1,7,13,0.538,0.607,3,4,0.75,1,12,13,1,4,0,3,2,20,18.2,H,1,1,justise-winslow-1,Justise Winslow,2015,duke,1.0
28,28,28,2015-02-25,Duke,@,Virginia Tech,REG (Conf),W 91-86 (OT),*,39,7,12,0.583,1,3,6,9,0.667,0.625,0,1,0.0,1,6,7,1,2,1,2,5,15,10.9,A,1,1,justise-winslow-1,Justise Winslow,2015,duke,0.333
